name;city;type;coord_X;coord_Y
Base de Loisirs;Aigueperse;Court de tennis;4.43673;46.27725
Salle des Fetes et Terrain de Jeu;Alix;Terrain de basket-ball;4.65048;45.91451
Collège Saint Viateur;Amplepuis;Terrain de basket-ball;4.3305;45.9714
Piscine Municipale;Amplepuis;Bassin sportif de natation;4.33641;45.97965
Salle de Gymnastique;Amplepuis;Salle de gymnastique sportive;4.31299;45.98101
Complexe Culturel et Sportif Bagatelle;Amplepuis;Court de tennis;4.33261;45.96278
Mur d'Escalade;Amplepuis;Structure Artificielle d'Escalade;4.33449;45.97113
Stade de Verenay;Ampuis;Terrain de rugby;4.83263;45.50143
Complexe Sportif;Anse;Pas de tir à l'arc;4.71148;45.93727
Complexe Sportif;Anse;Salle multisports (gymnase);4.71243;45.93873
Circuits de Randonnees;Anse;Boucle de randonnée;4.71804;45.9362
Espace Escalade;L'Arbresle;Site de blocs d'escalade;4.60713;45.82517
Lycee Barthelemy Thimonnier;L'Arbresle;Plateau EPS/Multisports/city-stades;4.61234;45.8351
Stade Municipal;L'Arbresle;Terrain de boules;4.60665;45.83848
Stade Municipal;L'Arbresle;Court de tennis;4.60512;45.83886
Gymnase Henri Clairet;L'Arbresle;Salle multisports (gymnase);4.611897;45.835094
Domaine de la Sauvageonnne;Arnas;Carrière;4.69164;46.03155
Domaine de la Sauvageonnne;Arnas;Carrière de dressage/rond de longe;4.69164;46.03155
"Complexe Sportif ""Espace Grange Moulin""";Arnas;Terrain de football;4.70108;46.02877
"Complexe Sportif ""Espace Grange Moulin""";Arnas;Salle multisports (gymnase);4.700501;46.027221
L'Escale;Arnas;Salle multisports (gymnase);4.697937;46.029623
L'Escale;Arnas;Terrain de rugby;4.702792;46.029396
Complexe Sportif;Aveize;Salle multisports (gymnase);4.47835;45.68308
Salles de Loisirs;Aveize;Salles polyvalentes / des fêtes / non spécialisées;4.47694;45.68355
Circuits de Randonnees;Aveize;Boucle de randonnée;4.45821;45.6883
Court de Tennis;Bagnols;Court de tennis;4.60621;45.9114
Circuits de Randonnees;Bagnols;Boucle de randonnée;4.6263;45.9038
Circuits de Randonnees;Beaujeu;Boucle de randonnée;4.5873;46.15463
Circuits de Randonnees;Beaujeu;Boucle de randonnée;4.5873;46.15463
Circuits de Randonnees;Beaujeu;Boucle de randonnée;4.5873;46.15463
Complexe Sportif;Beaujeu;Court de tennis;4.57266;46.16351
Centre Sportif Rosselli;Belleville;Salle multisports (gymnase);4.74024;46.10357
Boulodrome;Belleville;Terrain de boules;4.7533;46.10738
Espace Catinot;Belleville;Salle de tennis de table;4.74714;46.1082
Stade Municipal Jomard Dury;Belleville;Terrain de basket-ball;4.74226;46.10909
Gymnase Intercommunal Philippe Gardent;Belleville;Plateau EPS/Multisports/city-stades;4.7387;46.10257
Complexe Sportif Jean Guilloud;Bessenay;Court de tennis;4.5491;45.78177
Plateau Multisports;Bessenay;Plateau EPS/Multisports/city-stades;4.55132;45.77544
Les Chevrières;Blacé;Court de tennis;4.65136;46.04568
Salle Polyvalente;Val d'Oingt;Terrain de basket-ball;4.58763;45.92057
Boulodromes;Val d'Oingt;Terrain de boules;4.58518;45.91769
Collège Les Pierres Dorées;Val d'Oingt;Terrain de basket-ball;4.58255;45.92584
Circuits de Randonnees;Val d'Oingt;Boucle de randonnée;4.58475;45.9226
Gymnase Bri'Sport;Brignais;Salle de gymnastique sportive;4.76161;45.6709
Ecole Claudius Fournion;Brignais;Salles polyvalentes / des fêtes / non spécialisées;4.75568;45.67551
Boulodrome 2;Brignais;Terrain de boules;4.76026;45.67406
Complexe Sportif Pierre Minssieux;Brignais;Terrain de football;4.74931;45.67933
Complexe Sportif Pierre Minssieux;Brignais;Court de tennis;4.7505;45.67792
College Georges Charpak;Brindas;Piste d'athlétisme isolée;4.70278;45.72158
Parc des Sports;Brindas;Terrain de football;4.68678;45.72292
Parc des Sports;Brindas;Court de tennis;4.68513;45.72374
Circuits de Randonnees;Brindas;Boucle de randonnée;4.69375;45.7205
Parc de Parilly;Bron;Stade d’athlétisme;4.89472;45.71799
Parc de Parilly;Bron;Terrain de football;4.89704;45.72045
Parc de Parilly;Bron;Terrain de basket-ball;4.8957;45.72168
Parc de Parilly;Bron;Terrain de basket-ball;4.8957;45.72168
Parc de Parilly;Bron;Terrain de basket-ball;4.8957;45.72168
7 Fitness;Bron;Salle de cours collectifs;4.931818;45.743478
Stade Léo Lagrange;Bron;Terrain de football;4.92591;45.74214
Stade Léo Lagrange;Bron;Court de tennis;4.92708;45.74076
Stade Léo Lagrange;Bron;Court de tennis;4.92708;45.74076
Stade Duboeuf;Bron;Stade d’athlétisme;4.90718;45.74142
Université Lumière Lyon Ii;Bron;Salle multisports (gymnase);4.91909;45.72048
Lycée Professionnel du Batiment et des Travaux Publics;Bron;Plateau EPS/Multisports/city-stades;4.88842;45.72642
Halle des Sports;Bron;Salle multisports (gymnase);4.92179;45.7373
Salle d'Armes;Bron;Salle d'escrime;4.91041;45.74378
Gymnase Louis Pradel;Bron;Plateau EPS/Multisports/city-stades;4.91258;45.74817
Court de Tennis;Brullioles;Court de tennis;4.50077;45.75964
Plateau Sportif;Brussieu;Plateau EPS/Multisports/city-stades;4.52779;45.74946
Karting Evasion;Bully;Piste de kart;4.56013;45.85779
Complexe Sportif du Repiel;Bully;Court de tennis;4.59127;45.85404
"Complexe Sportif ""Des Prolières""";Cailloux-sur-Fontaines;Plateau EPS/Multisports/city-stades;4.86733;45.85066
You Can Fit;Caluire-et-Cuire;Salle de musculation/cardiotraining;4.834089;45.78693
Circuits de Randonnees;Caluire-et-Cuire;Boucle de randonnée;4.83646;45.7878
Circuits de Randonnees;Caluire-et-Cuire;Boucle de randonnée;4.83646;45.7878
Fcl Tennis;Caluire-et-Cuire;Court de tennis;4.83622;45.7933
Ecole de l'Oratoire;Caluire-et-Cuire;Plateau EPS/Multisports/city-stades;4.84151;45.78407
Parc des Sports Bourdan;Caluire-et-Cuire;Salle de cours collectifs;4.840041;45.792643
Parc des Sports Terre des Lièvres 2;Caluire-et-Cuire;Court de tennis;4.86857;45.80356
Aire de Loisirs de la Mardone;Cenves;Terrain de pétanque;4.65112;46.26862
Salle d'Animation Rurale;Cercié;Terrain de boules;4.67133;46.12254
Ferme Équestre de la Vieille Route;Chamelet;Dojo / Salle d'arts martiaux;4.49614;45.99932
Structure Multisports;Chamelet;Plateau EPS/Multisports/city-stades;4.50503;45.9792
Structure Multisports;Chamelet;Stade d’athlétisme;4.50503;45.9792
Circuits de Randonnees;Chamelet;Boucle de randonnée;4.50787;45.9824
Courts de Tennis;Champagne-au-Mont-d'Or;Court de tennis;4.77135;45.80221
Courts de Tennis;Champagne-au-Mont-d'Or;Court de tennis;4.7709;45.80225
Espace Henri Cochet;Chaponost;Court de tennis;4.7493;45.70401
Espace Henri Cochet;Chaponost;Court de tennis;4.7493;45.70401
Planète 3D;Chaponost;Salle de musculation/cardiotraining;4.764601;45.694845
Tennis Bois de Lune;Charbonnières-les-Bains;Court de tennis;4.73355;45.78731
Parc des Sports;Charbonnières-les-Bains;Court de tennis;4.74583;45.78219
Boulodrome et Mille Club;Charbonnières-les-Bains;Terrain de boules;4.74124;45.77762
Espace Carenthia;Charentay;Terrain de basket-ball;4.68146;46.08647
Domaine Communal Melchior Philibert;Charly;Terrain de pétanque;4.79679;45.64635
